ID,Title,Company,Location,Score,Status,Source,Salary,URL,Matched Skills,Score Reasoning,Scraped At,Applied At,Resume,Cover Letter,Notes
61,Backend Software Engineer II,foodpanda,"Singapore, Singapore",9.5,scored,linkedin,,https://sg.linkedin.com/jobs/view/backend-software-engineer-ii-at-foodpanda-4370769994,"Node.js, Express.js, Python, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration, RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends.","High technical skill match ( Node.js, Express.js, Python), seniority fit (5+ years experience), role type alignment (Backend) and location compatibility (Singapore is reachable from Bengaluru).",2026-02-13T19:11:39.298101,,,,
84,Principal Security Engineer,Auros,Remote,9.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-principal-security-engineer-auros-1130222,"C#, Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, ReactJS (dashboards, admin panels, internal tools), Databases orchestration, workflow automation, MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security, AWS, Docker, Linux, CI/CD","Strong technical match due to extensive backend experience and skills in security, AWS, and cloud DevOps.",2026-02-13T19:12:57.724229,,,,
83,(Senior) Backend Engineer (f/m/x),lemon.markets,Hybrides Arbeiten in Berlin,9.0,scored,indeed,,https://de.indeed.com/rc/clk?jk=5cdbf9ad1bd9a1fd&bb=nwP3NFodMrfS7MTCKKL-ZxUuM0rNougFkVQOSZk6F5DP8ai4kgD706VZ8ugJkX4XAxB5b1C7xknTQbVwBZO9E-hM-TQODjB6O3wf8ugFL6fBFEKlQJ_QgMzha1hQkRqL&xkcb=SoDS67M3nrvqUlzCGZ0MbzkdCdPP&fccid=00766c39b68a04b4&vjs=3,"Node.js, Express.js, Python, REST APIs, WebSockets, ReactJS, GenAl & Al Agents, LLM integration, Databases orchestration, workflow automation, MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security, AWS, DigitalOcean, Docker, Linux, CI/CD, monitoring","Highly relevant skills for backend engineering and AI, seniority matches role requirements, suitable location",2026-02-13T19:12:07.536856,,,,
55,Backend Engineer - Agents Team,Taktile,"London, England, United Kingdom",9.0,scored,linkedin,,https://uk.linkedin.com/jobs/view/backend-engineer-agents-team-at-taktile-4369274228,"C#, Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation","Excellent technical match, seniority fit, and role type alignment. However, location compatibility is a concern.",2026-02-13T19:11:21.696411,,,,
52,Backend Developer,Nabu Casa,"London, England, United Kingdom",9.0,scored,linkedin,,https://uk.linkedin.com/jobs/view/backend-developer-at-nabu-casa-4366360433,"C#, Node.js (JavaScript/TypeScript), Python, REST APIs, WebSockets, microservices, ReactJS, LLM integration (Azure GPT/OpenAI), MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security",The candidate's technical skills and experience closely match the job requirements.,2026-02-13T19:11:21.695411,,,,
49,Backend Engineer,CRED,United Kingdom,9.0,scored,linkedin,,https://uk.linkedin.com/jobs/view/backend-engineer-at-cred-4339189757,"Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration, RAG, Al agents, prompt, Databases orchestration, workflow automation","Highly relevant technical skills for a Backend Engineer role, strong seniority fit and alignment with the role type.",2026-02-13T19:11:21.694410,,,,
48,Backend Engineer,Uphold,"City Of London, England, United Kingdom",9.0,scored,linkedin,,https://uk.linkedin.com/jobs/view/backend-engineer-at-uphold-4370540512,"C#, Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS (dashboards, admin panels, internal tools), GenAl & Al Agents, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends.",Excellent technical skill match and seniority fit for this Backend role at Uphold,2026-02-13T19:11:21.694410,,,,
45,"Backend Software Engineer, Python",Cradle,"Amsterdam, North Holland, Netherlands",9.0,scored,linkedin,,https://nl.linkedin.com/jobs/view/backend-software-engineer-python-at-cradle-4359408374,"Python, Node.js (JavaScript/TypeScript), REST APIs, WebSockets, microservices, event-driven systems, ReactJS (dashboards, admin panels, internal tools), GenAl & Al Agents, LLM integration (Azure GPT/OpenAI)",High score due to excellent technical skill match and seniority fit.,2026-02-13T19:11:07.847899,,,,
42,Junior Full-Stack Developer,Voormedia,"Amsterdam, North Holland, Netherlands",9.0,scored,linkedin,,https://nl.linkedin.com/jobs/view/junior-full-stack-developer-at-voormedia-4351607507,"Node.js, Express.js, Python, REST APIs, WebSockets, microservices, ReactJS, GenAl & Al Agents, LLM integration (Azure GPT/OpenAI), Databases orchestration, workflow automation, Cloud & DevOps, Security","Candidate has strong technical skills that match the job requirements, but seniority and role type alignment are not perfect",2026-02-13T19:11:07.846376,,,,
26,Backend Developer (Mid-Level) (m/w/d),Octopus Energy,"Berlin, Berlin, Germany",9.0,scored,linkedin,,https://de.linkedin.com/jobs/view/backend-developer-mid-level-m-w-d-at-octopus-energy-4371829063,"C#, Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, ReactJS, microservices, event-driven systems, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends., MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security","Candidate's technical skills are a near-perfect match for the job requirements, and their experience is suitable for a mid-level role.",2026-02-13T19:10:54.962393,,,,
